link,name
https://www.goodreads.com//book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns 
https://www.goodreads.com//book/show/17333223-the-goldfinch,The Goldfinch 
https://www.goodreads.com//book/show/14935.Sense_and_Sensibility,Sense and Sensibility 
https://www.goodreads.com//book/show/52867387-beach-read,Beach Read 
https://www.goodreads.com//book/show/10194157-shadow-and-bone,Shadow and Bone 
https://www.goodreads.com//book/show/34273236-little-fires-everywhere,Little Fires Everywhere 
https://www.goodreads.com//book/show/4214.Life_of_Pi,Life of Pi 
https://www.goodreads.com//book/show/40121378-atomic-habits,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones 
https://www.goodreads.com//book/show/61215351-the-fellowship-of-the-ring,The Fellowship of the Ring 
https://www.goodreads.com//book/show/8520610-quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking 
https://www.goodreads.com//book/show/7896527-throne-of-glass,Throne of Glass 
https://www.goodreads.com//book/show/12232938-the-lovely-bones,The Lovely Bones 
https://www.goodreads.com//book/show/830502.It,It 
https://www.goodreads.com//book/show/99561.Looking_for_Alaska,Looking for Alaska 
https://www.goodreads.com//book/show/41057294-normal-people,Normal People 
https://www.goodreads.com//book/show/157993.The_Little_Prince,The Little Prince 
https://www.goodreads.com//book/show/4069.Man_s_Search_for_Meaning,Man's Search for Meaning 
https://www.goodreads.com//book/show/890.Of_Mice_and_Men,Of Mice and Men 
https://www.goodreads.com//book/show/29044.The_Secret_History,The Secret History 
https://www.goodreads.com//book/show/33385229-they-both-die-at-the-end,They Both Die at the End 
https://www.goodreads.com//book/show/27213238-the-hating-game,The Hating Game 
https://www.goodreads.com//book/show/2612.The_Tipping_Point,The Tipping Point: How Little Things Can Make a Big Difference 
https://www.goodreads.com//book/show/6969.Emma,Emma 
https://www.goodreads.com//book/show/16068905-fangirl,Fangirl 
https://www.goodreads.com//book/show/56732449-the-love-hypothesis,The Love Hypothesis 
https://www.goodreads.com//book/show/40916679-a-good-girl-s-guide-to-murder,A Good Girl's Guide to Murder 
https://www.goodreads.com//book/show/51791252-the-vanishing-half,The Vanishing Half 
https://www.goodreads.com//book/show/58679358-one-of-us-is-lying,One of Us Is Lying 
https://www.goodreads.com//book/show/6186357-the-maze-runner,The Maze Runner 
https://www.goodreads.com//book/show/51933429-the-guest-list,The Guest List 
https://www.goodreads.com//book/show/30165203-american-gods,American Gods 
https://www.goodreads.com//book/show/10818853-fifty-shades-of-grey,Fifty Shades of Grey 
https://www.goodreads.com//book/show/186074.The_Name_of_the_Wind,The Name of the Wind 
https://www.goodreads.com//book/show/41817486-a-clockwork-orange,A Clockwork Orange 
https://www.goodreads.com//book/show/10964.Outlander,Outlander 
https://www.goodreads.com//book/show/58341222-reminders-of-him,Reminders of Him 
https://www.goodreads.com//book/show/58690308-book-lovers,Book Lovers 
https://www.goodreads.com//book/show/6334.Never_Let_Me_Go,Never Let Me Go 
https://www.goodreads.com//book/show/18135.Romeo_and_Juliet,Romeo and Juliet 
https://www.goodreads.com//book/show/13214.I_Know_Why_the_Caged_Bird_Sings,I Know Why the Caged Bird Sings 
https://www.goodreads.com//book/show/49552.The_Stranger,The Stranger 
https://www.goodreads.com//book/show/656.War_and_Peace,War and Peace 
https://www.goodreads.com//book/show/38359036-the-tattooist-of-auschwitz,The Tattooist of Auschwitz 
https://www.goodreads.com//book/show/6442769-paper-towns,Paper Towns 
https://www.goodreads.com//book/show/15749186-to-all-the-boys-i-ve-loved-before,To All the Boys I've Loved Before 
https://www.goodreads.com//book/show/33574273-a-wrinkle-in-time,A Wrinkle in Time 
https://www.goodreads.com//book/show/18460392-all-the-bright-places,All the Bright Places 
https://www.goodreads.com//book/show/35900387-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine 
https://www.goodreads.com//book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,Aristotle and Dante Discover the Secrets of the Universe 
https://www.goodreads.com//book/show/1381.The_Odyssey,The Odyssey 
https://www.goodreads.com//book/show/1845.Into_the_Wild,Into the Wild 
https://www.goodreads.com//book/show/54981009-the-last-thing-he-told-me,The Last Thing He Told Me 
https://www.goodreads.com//book/show/18045891-sharp-objects,Sharp Objects 
https://www.goodreads.com//book/show/8664353-unbroken,"Unbroken: A World War II Story of Survival, Resilience and Redemption "
https://www.goodreads.com//book/show/7171637-clockwork-angel,Clockwork Angel 
https://www.goodreads.com//book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe "
https://www.goodreads.com//book/show/7445.The_Glass_Castle,The Glass Castle 
https://www.goodreads.com//book/show/4374400-if-i-stay,If I Stay 
https://www.goodreads.com//book/show/6493208-the-immortal-life-of-henrietta-lacks,The Immortal Life of Henrietta Lacks 
https://www.goodreads.com//book/show/33648131-the-notebook,The Notebook 
https://www.goodreads.com//book/show/3228917-outliers,Outliers: The Story of Success 
https://www.goodreads.com//book/show/18114322-the-grapes-of-wrath,The Grapes of Wrath 
https://www.goodreads.com//book/show/4406.East_of_Eden,East of Eden 
https://www.goodreads.com//book/show/52892857-the-color-purple,The Color Purple 
https://www.goodreads.com//book/show/56597885-beautiful-world-where-are-you,"Beautiful World, Where Are You "
https://www.goodreads.com//book/show/24178.Charlotte_s_Web,Charlotte's Web 
https://www.goodreads.com//book/show/25899336-when-breath-becomes-air,When Breath Becomes Air 
https://www.goodreads.com//book/show/52831200-from-blood-and-ash,From Blood and Ash 
https://www.goodreads.com//book/show/5886881-dark-places,Dark Places 
https://www.goodreads.com//book/show/18007564-the-martian,The Martian 
https://www.goodreads.com//book/show/42201431-the-unhoneymooners,The Unhoneymooners 
https://www.goodreads.com//book/show/9969571-ready-player-one,Ready Player One 
https://www.goodreads.com//book/show/9418327-bossypants,Bossypants 
https://www.goodreads.com//book/show/18774964-a-man-called-ove,A Man Called Ove 
https://www.goodreads.com//book/show/119322.The_Golden_Compass,The Golden Compass 
https://www.goodreads.com//book/show/17061.Coraline,Coraline 
https://www.goodreads.com//book/show/22055262-a-darker-shade-of-magic,A Darker Shade of Magic 
https://www.goodreads.com//book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time 
https://www.goodreads.com//book/show/45047384-the-house-in-the-cerulean-sea,The House in the Cerulean Sea 
https://www.goodreads.com//book/show/53799686-anxious-people,Anxious People 
https://www.goodreads.com//book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea 
https://www.goodreads.com//book/show/54189398-the-spanish-love-deception,The Spanish Love Deception 
https://www.goodreads.com//book/show/2998.The_Secret_Garden,The Secret Garden 
https://www.goodreads.com//book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch "
https://www.goodreads.com//book/show/60393672-it-starts-with-us,It Starts with Us 
https://www.goodreads.com//book/show/2156.Persuasion,Persuasion 
https://www.goodreads.com//book/show/1202.Freakonomics,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything 
https://www.goodreads.com//book/show/40389527-the-woman-in-the-window,The Woman in the Window 
https://www.goodreads.com//book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows 
https://www.goodreads.com//book/show/10534.The_Art_of_War,The Art of War 
https://www.goodreads.com//book/show/40102.Blink,Blink: The Power of Thinking Without Thinking 
https://www.goodreads.com//book/show/3869.A_Brief_History_of_Time,A Brief History of Time 
https://www.goodreads.com//book/show/11505797-beautiful-disaster,Beautiful Disaster 
https://www.goodreads.com//book/show/23513349-milk-and-honey,Milk and Honey 
https://www.goodreads.com//book/show/34066798-a-gentleman-in-moscow,A Gentleman in Moscow 
https://www.goodreads.com//book/show/2623.Great_Expectations,Great Expectations 
https://www.goodreads.com//book/show/17899948-rebecca,Rebecca 
https://www.goodreads.com//book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees 
https://www.goodreads.com//book/show/113436.Eragon,Eragon 
https://www.goodreads.com//book/show/18050143-zero-to-one,"Zero to One: Notes on Startups, or How to Build the Future "
https://www.goodreads.com//book/show/43263680-ninth-house,Ninth House 
https://www.goodreads.com//book/show/1842.Guns_Germs_and_Steel,"Guns, Germs, and Steel: The Fates of Human Societies "
https://www.goodreads.com//book/show/33516773-big-little-lies,Big Little Lies 
https://www.goodreads.com//book/show/29844228-thirteen-reasons-why,Thirteen Reasons Why 
https://www.goodreads.com//book/show/36199084-the-kiss-quotient,The Kiss Quotient 
https://www.goodreads.com//book/show/25541028-elon-musk,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future "
https://www.goodreads.com//book/show/27883214-caraval,Caraval 
https://www.goodreads.com//book/show/62229748-the-seven-deaths-of-evelyn-hardcastle,The Seven Deaths of Evelyn Hardcastle 
https://www.goodreads.com//book/show/52439531-the-inheritance-games,The Inheritance Games 
https://www.goodreads.com//book/show/6936382-anna-and-the-french-kiss,Anna and the French Kiss 
https://www.goodreads.com//book/show/1232.The_Shadow_of_the_Wind,The Shadow of the Wind 
https://www.goodreads.com//book/show/1617.Night,Night  
https://www.goodreads.com//book/show/20910157-yes-please,Yes Please 
https://www.goodreads.com//book/show/168642.In_Cold_Blood,In Cold Blood 
https://www.goodreads.com//book/show/15783514-the-ocean-at-the-end-of-the-lane,The Ocean at the End of the Lane 
https://www.goodreads.com//book/show/153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale "
https://www.goodreads.com//book/show/29780253-born-a-crime,Born a Crime: Stories From a South African Childhood 
https://www.goodreads.com//book/show/2459785.In_the_Woods,In the Woods 
https://www.goodreads.com//book/show/21.A_Short_History_of_Nearly_Everything,A Short History of Nearly Everything 
https://www.goodreads.com//book/show/68428.The_Final_Empire,The Final Empire 
https://www.goodreads.com//book/show/11387515-wonder,Wonder 
https://www.goodreads.com//book/show/9275658-legend,Legend 
https://www.goodreads.com//book/show/44582454-regretting-you,Regretting You 
https://www.goodreads.com//book/show/34051011-pachinko,Pachinko 
https://www.goodreads.com//book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince 
https://www.goodreads.com//book/show/6288.The_Road,The Road 
https://www.goodreads.com//book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix 
https://www.goodreads.com//book/show/43923951-such-a-fun-age,Such a Fun Age 
https://www.goodreads.com//book/show/397483.The_Devil_in_the_White_City,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America "
https://www.goodreads.com//book/show/40275288-the-priory-of-the-orange-tree,The Priory of the Orange Tree 
https://www.goodreads.com//book/show/968.The_Da_Vinci_Code,The Da Vinci Code 
https://www.goodreads.com//book/show/44778083-house-of-earth-and-blood,House of Earth and Blood 
https://www.goodreads.com//book/show/30119.Where_the_Sidewalk_Ends,Where the Sidewalk Ends 
https://www.goodreads.com//book/show/7735333-matched,Matched 
https://www.goodreads.com//book/show/41880609-on-earth-we-re-briefly-gorgeous,On Earth We're Briefly Gorgeous 
https://www.goodreads.com//book/show/12262741-wild,Wild: From Lost to Found on the Pacific Crest Trail 
https://www.goodreads.com//book/show/50093704-in-five-years,In Five Years 
https://www.goodreads.com//book/show/368593.The_4_Hour_Workweek,The 4-Hour Workweek 
https://www.goodreads.com//book/show/6339664-hush-hush,"Hush, Hush "
https://www.goodreads.com//book/show/62967897-hopeless,Hopeless 
https://www.goodreads.com//book/show/485894.The_Metamorphosis,The Metamorphosis 
https://www.goodreads.com//book/show/17675462-the-raven-boys,The Raven Boys 
https://www.goodreads.com//book/show/35504431-turtles-all-the-way-down,Turtles All the Way Down 
https://www.goodreads.com//book/show/18692431-everything-everything,"Everything, Everything "
https://www.goodreads.com//book/show/370493.The_Giving_Tree,The Giving Tree 
